Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
61	47	0	0.882090582	101264.876	101347.545	101078.486	102170.089	1091.60281	0	0	0	0	0	3
62	48	0	0.896551084	101262.284	101341.384	101078.486	102170.089	1091.60281	0	0	0	0	0	3
63	48	0	0.911011585	101269.802	101324.34	101078.486	102170.089	1091.60281	0	0	0	0	0	3
64	49	0	0.925472086	101269.628	101301.894	101078.486	102170.089	1091.60281	0	0	0	0	0	3
65	50	0	0.939932588	101276.823	101276.372	101078.486	102054.883	976.396647	0	0	0	0	0	3
66	50	0	0.954393089	101277.297	101254.155	101078.486	101960.55	882.064301	0	0	0	0	0	3
67	51	0	0.96885359	101282.254	101234.775	101078.486	101672.782	594.295893	0	0	0	0	0	3
68	51	0	0.983314092	101279.993	101223.553	101078.486	101356.619	278.133192	0	0	0	0	0	3
69	52	0	0.997774593	101280.082	101221.366	101078.486	101282.254	203.767762	0	0	0	0	0	3
70	53	0	1.01223509	101278.848	101223.807	101078.486	101282.254	203.767762	325.920003	0	100	0	0	3
71	53	0	1.0266956	101280.025	101227.27	101078.486	101282.254	203.767762	325.920003	0	100	0	0	3
72	54	0	1.0411561	101279.872	101231.416	101078.486	101282.254	203.767762	325.920003	0	100	0	0	3
73	55	0	1.0556166	101282.102	101235.723	101078.486	101282.254	203.767762	325.920003	0	100	0	0	3
74	55	0	1.0700771	101283.968	101241.594	101168.469	101283.968	115.499146	325.920003	0	100	0	0	3
75	56	0	1.0845376	101284.727	101244.534	101168.469	101284.727	116.258696	325.920003	0	100	0	0	3
76	57	0	1.0989981	101288.92	101247.806	101168.469	101288.92	120.451056	325.920003	0	100	0	0	3
