Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	48	0	0.911011585	293.800479	293.503304	292.125265	293.810934	1.68566885	0	0	0	0	0	3
64	49	0	0.925472086	293.796048	293.55104	292.231165	293.810934	1.57976865	0	0	0	0	0	3
65	50	0	0.939932588	293.791715	293.595628	292.390408	293.810934	1.42052599	0	0	0	0	0	3
66	50	0	0.954393089	293.787528	293.635545	292.567837	293.810934	1.24309706	0	0	0	0	0	3
67	51	0	0.96885359	293.783641	293.670283	292.751423	293.810934	1.05951048	0	0	0	0	0	3
68	51	0	0.983314092	293.7799	293.699668	292.922821	293.810934	0.888113399	0	0	0	0	0	3
69	52	0	0.997774593	293.77622	293.72405	293.081215	293.810934	0.729718871	0	0	0	0	0	3
70	53	0	1.01223509	293.772414	293.743799	293.269365	293.810934	0.541568641	0.0868647196	0	16	0	0	3
71	53	0	1.0266956	293.768565	293.758062	293.418159	293.810934	0.392774526	0.0868647196	0	22.1	0	0	3
72	54	0	1.0411561	293.764748	293.767964	293.5303	293.810934	0.280633763	0.0868647196	0	30.9	0	0	3
73	55	0	1.0556166	293.761471	293.774569	293.607717	293.810934	0.203216515	0.0868647196	0	42.7	0	0	3
74	55	0	1.0700771	293.759225	293.778898	293.662024	293.810934	0.148909568	0.0868647196	0	58.3	0	0	3
75	56	0	1.0845376	293.758224	293.781647	293.706333	293.810934	0.104601312	0.0868647196	0	83	0	0	3
76	57	0	1.0989981	293.758963	293.78315	293.736489	293.810934	0.0744444434	0.0868647196	0	100	0	0	3
