0.00	0.00	0.00
0.00	0.01	0.00
0.01	0.01	0.00
0.01	0.02	0.00
0.02	0.02	0.00
0.03	0.03	0.00
0.04	0.03	0.00
0.05	0.03	0.00
0.06	0.04	0.00
0.07	0.04	0.00
0.08	0.04	0.00
0.10	0.05	0.00
0.11	0.05	0.00
0.13	0.05	0.00
0.14	0.05	0.00
0.16	0.05	0.00
0.18	0.06	0.00
0.20	0.06	0.00
0.22	0.06	0.00
0.24	0.06	0.00
0.26	0.06	0.00
0.28	0.06	0.00
0.30	0.06	0.00
0.32	0.06	0.00
0.35	0.06	0.00
0.37	0.06	0.00
0.39	0.06	0.00
0.42	0.06	0.00
0.44	0.06	0.00
0.46	0.06	0.00
0.49	0.05	0.00
0.51	0.05	0.00
0.54	0.05	0.00
0.56	0.05	0.00
0.58	0.05	0.00
0.61	0.04	0.00
0.63	0.04	0.00
0.65	0.04	0.00
0.68	0.04	0.00
0.70	0.04	0.00
0.72	0.03	0.00
0.74	0.03	0.00
0.76	0.03	0.00
0.78	0.03	0.00
0.80	0.03	0.00
0.82	0.02	0.00
0.84	0.02	0.00
0.86	0.02	0.00
0.87	0.02	0.00
0.89	0.02	0.00
0.90	0.01	0.00
0.92	0.01	0.00
0.93	0.01	0.00
0.94	0.01	0.00
0.95	0.01	0.00
0.96	0.01	0.00
0.97	0.01	0.00
0.98	0.00	0.00

1.00	0.00	0.00
0.98	0.00	0.00
0.97	-0.01	0.00
0.96	-0.01	0.00
0.95	-0.01	0.00
0.94	-0.01	0.00
0.93	-0.01	0.00
0.92	-0.01	0.00
0.90	-0.01	0.00
0.89	-0.02	0.00
0.87	-0.02	0.00
0.86	-0.02	0.00
0.84	-0.02	0.00
0.82	-0.02	0.00
0.80	-0.03	0.00
0.78	-0.03	0.00
0.76	-0.03	0.00
0.74	-0.03	0.00
0.72	-0.03	0.00
0.70	-0.04	0.00
0.68	-0.04	0.00
0.65	-0.04	0.00
0.63	-0.04	0.00
0.61	-0.04	0.00
0.58	-0.05	0.00
0.56	-0.05	0.00
0.54	-0.05	0.00
0.51	-0.05	0.00
0.49	-0.05	0.00
0.46	-0.06	0.00
0.44	-0.06	0.00
0.42	-0.06	0.00
0.39	-0.06	0.00
0.37	-0.06	0.00
0.35	-0.06	0.00
0.32	-0.06	0.00
0.30	-0.06	0.00
0.28	-0.06	0.00
0.26	-0.06	0.00
0.24	-0.06	0.00
0.22	-0.06	0.00
0.20	-0.06	0.00
0.18	-0.06	0.00
0.16	-0.05	0.00
0.14	-0.05	0.00
0.13	-0.05	0.00
0.11	-0.05	0.00
0.10	-0.05	0.00
0.08	-0.04	0.00
0.07	-0.04	0.00
0.06	-0.04	0.00
0.05	-0.03	0.00
0.04	-0.03	0.00
0.03	-0.03	0.00
0.02	-0.02	0.00
0.01	-0.02	0.00
0.01	-0.01	0.00
0.00	-0.01	0.00
